Date,PM10,PM2.5,SO2,NO2,CO,O3,Pb,AQI,Air QLTY,Station ID,Station Name
24-11-2015,57,,4,9,,,,,,8,Curchorem
27-11-2015,49,,4,9,,,,,,8,Curchorem
01-12-2015,46,,4,9,,,,,,8,Curchorem
04-12-2015,51,,4,9,,,,,,8,Curchorem
08-12-2015,57,,4,9,,,,,,8,Curchorem
11-12-2015,68,,4,9,,,,,,8,Curchorem
15-12-2015,75,,4,10,,,,,,8,Curchorem
18-12-2015,70,,4,10,,,,,,8,Curchorem
22-12-2015,68,,4,9,,,,,,8,Curchorem
24-12-2015,71,,4,9,,,,,,8,Curchorem
29-12-2015,76,,4,10,,,,,,8,Curchorem
03-01-2015,77,,4,9,,,,,,9,Usgao
08-01-2015,57,,4,9,,,,,,9,Usgao
10-01-2015,70,,4,9,,,,,,9,Usgao
14-01-2015,79,,4,9,,,,,,9,Usgao
16-01-2015,80,,4,9,,,,,,9,Usgao
20-01-2015,80,,4,10,,,,,,9,Usgao
22-01-2015,71,,4,9,,,,,,9,Usgao
28-01-2015,69,,4,9,,,,,,9,Usgao
30-01-2015,87,,4,8,,,,,,9,Usgao
04-02-2015,67,,4,9,,,,,,9,Usgao
06-02-2015,77,,4,9,,,,,,9,Usgao
11-02-2015,71,,4,9,,,,,,9,Usgao
13-02-2015,72,,4,9,,,,,,9,Usgao
18-02-2015,67,,4,9,,,,,,9,Usgao
20-02-2015,72,,4,9,,,,,,9,Usgao
25-02-2015,67,,4,9,,,,,,9,Usgao
27-02-2015,62,,4,9,,,,,,9,Usgao
04-03-2015,68,,4,9,,,,,,9,Usgao
07-03-2015,53,,4,9,,,,,,9,Usgao
11-03-2015,57,,4,9,,,,,,9,Usgao
13-03-2015,74,,4,9,,,,,,9,Usgao
18-03-2015,55,,5,11,,,,,,9,Usgao
20-03-2015,52,,4,9,,,,,,9,Usgao
25-03-2015,61,,4,9,,,,,,9,Usgao
27-03-2015,78,,5,9,,,,,,9,Usgao
01-04-2015,47,,4,9,,,,,,9,Usgao
03-04-2015,44,,4,9,,,,,,9,Usgao
08-04-2015,36,,4,9,,,,,,9,Usgao
10-04-2015,78,,4,9,,,,,,9,Usgao
15-04-2015,77,,3,7,,,,,,9,Usgao
17-04-2015,68,,4,9,,,,,,9,Usgao
22-04-2015,69,,4,9,,,,,,9,Usgao
24-04-2015,67,,4,9,,,,,,9,Usgao
29-04-2015,56,,4,9,,,,,,9,Usgao
02-05-2015,52,,4,9,,,,,,9,Usgao
06-05-2015,47,,4,9,,,,,,9,Usgao
08-05-2015,57,,4,9,,,,,,9,Usgao
13-05-2015,62,,5,9,,,,,,9,Usgao
15-05-2015,57,,4,9,,,,,,9,Usgao
20-05-2015,52,,4,9,,,,,,9,Usgao
22-05-2015,51,,4,9,,,,,,9,Usgao
27-05-2015,42,,4,9,,,,,,9,Usgao
29-05-2015,47,,4,9,,,,,,9,Usgao
03-06-2015,30,,3,7,,,,,,9,Usgao
05-06-2015,36,,4,9,,,,,,9,Usgao
10-06-2015,32,,4,8,,,,,,9,Usgao
12-06-2015,34,,3,6,,,,,,9,Usgao
17-06-2015,45,,5,11,,,,,,9,Usgao
19-06-2015,41,,2,5,,,,,,9,Usgao
24-06-2015,50,,4,9,,,,,,9,Usgao
26-06-2015,40,,4,9,,,,,,9,Usgao
01-07-2015,38,,3,6,,,,,,9,Usgao
03-07-2015,61,,4,9,,,,,,9,Usgao
08-07-2015,35,,3,7,,,,,,9,Usgao
10-07-2015,53,,4,8,,,,,,9,Usgao
15-07-2015,38,,3,8,,,,,,9,Usgao
17-07-2015,59,,3,8,,,,,,9,Usgao
22-07-2015,40,,3,6,,,,,,9,Usgao
24-07-2015,45,,3,7,,,,,,9,Usgao
31-07-2015,34,,3,7,,,,,,9,Usgao
06-08-2015,40,,3,8,,,,,,9,Usgao
08-08-2015,42,,4,9,,,,,,9,Usgao
11-08-2015,37,,3,7,,,,,,9,Usgao
13-08-2015,35,,4,8,,,,,,9,Usgao
20-08-2015,31,,2,5,,,,,,9,Usgao
22-08-2015,40,,4,8,,,,,,9,Usgao
26-08-2015,38,,3,7,,,,,,9,Usgao
28-08-2015,39,,4,7,,,,,,9,Usgao
02-09-2015,34,,3,8,,,,,,9,Usgao
05-09-2015,34,,3,8,,,,,,9,Usgao
09-09-2015,36,,4,9,,,,,,9,Usgao
12-09-2015,32,,3,7,,,,,,9,Usgao
15-09-2015,32,,4,10,,,,,,9,Usgao
19-09-2015,40,,3,8,,,,,,9,Usgao
23-09-2015,32,,3,7,,,,,,9,Usgao
26-09-2015,31,,3,6,,,,,,9,Usgao
03-10-2015,45,,4,9,,,,,,9,Usgao
07-10-2015,42,,4,9,,,,,,9,Usgao
10-10-2015,30,,4,9,,,,,,9,Usgao
14-10-2015,39,,4,9,,,,,,9,Usgao
17-10-2015,31,,4,9,,,,,,9,Usgao
21-10-2015,45,,4,9,,,,,,9,Usgao
24-10-2015,33,,4,9,,,,,,9,Usgao
28-10-2015,62,,4,9,,,,,,9,Usgao
31-10-2015,57,,4,9,,,,,,9,Usgao
04-11-2015,55,,4,9,,,,,,9,Usgao
07-11-2015,59,,4,9,,,,,,9,Usgao
11-11-2015,35,,4,9,,,,,,9,Usgao
14-11-2015,55,,4,9,,,,,,9,Usgao
18-11-2015,43,,4,9,,,,,,9,Usgao
21-11-2015,38,,4,9,,,,,,9,Usgao
25-11-2015,52,,4,9,,,,,,9,Usgao
28-11-2015,53,,4,9,,,,,,9,Usgao
02-12-2015,56,,4,8,,,,,,9,Usgao
05-12-2015,53,,4,9,,,,,,9,Usgao
09-12-2015,47,,4,9,,,,,,9,Usgao
12-12-2015,60,,4,10,,,,,,9,Usgao
16-12-2015,59,,4,9,,,,,,9,Usgao
19-12-2015,58,,4,9,,,,,,9,Usgao
23-12-2015,50,,4,9,,,,,,9,Usgao
26-12-2015,66,,4,10,,,,,,9,Usgao
30-12-2015,52,,4,9,,,,,,9,Usgao
03-01-2015,88,,5,10,,,,,,10,Codli
08-01-2015,54,,4,9,,,,,,10,Codli
10-01-2015,49,,4,9,,,,,,10,Codli
14-01-2015,64,,4,9,,,,,,10,Codli
16-01-2015,68,,4,9,,,,,,10,Codli
20-01-2015,62,,4,9,,,,,,10,Codli
22-01-2015,52,,4,9,,,,,,10,Codli
28-01-2015,62,,4,9,,,,,,10,Codli
30-01-2015,84,,4,9,,,,,,10,Codli
04-02-2015,68,,4,9,,,,,,10,Codli
06-02-2015,66,,4,9,,,,,,10,Codli
11-02-2015,64,,4,9,,,,,,10,Codli
13-02-2015,60,,4,9,,,,,,10,Codli
18-02-2015,70,,4,9,,,,,,10,Codli
20-02-2015,79,,4,10,,,,,,10,Codli
