Date,SO2,NO2,PM10,Station Name,Station ID
22-04-2015,4,9,53,Codli,10
24-04-2015,4,9,34,Codli,10
29-04-2015,4,10,41,Codli,10
05-02-2015,4,9,38,Codli,10
05-06-2015,4,9,41,Codli,10
05-08-2015,4,9,48,Codli,10
13-05-2015,4,9,38,Codli,10
15-05-2015,4,9,36,Codli,10
20-05-2015,4,9,51,Codli,10
22-05-2015,4,9,49,Codli,10
24-05-2015,4,8,38,Codli,10
29-05-2015,3,9,76,Codli,10
06-03-2015,4,9,42,Codli,10
06-05-2015,4,8,48,Codli,10
06-10-2015,3,7,41,Codli,10
06-12-2015,4,8,60,Codli,10
17-06-2015,4,9,34,Codli,10
19-06-2015,2,5,30,Codli,10
24-06-2015,4,8,30,Codli,10
26-06-2015,4,9,76,Codli,10
07-01-2015,3,8,31,Codli,10
07-03-2015,3,7,30,Codli,10
07-08-2015,3,8,32,Codli,10
07-10-2015,2,5,32,Codli,10
15-07-2015,4,9,33,Codli,10
17-07-2015,3,7,30,Codli,10
22-07-2015,3,7,33,Codli,10
24-07-2015,2,5,30,Codli,10
29-07-2015,4,8,31,Codli,10
31-07-2015,3,7,32,Codli,10
08-06-2015,3,7,35,Codli,10
08-08-2015,2,5,30,Codli,10
08-11-2015,2,5,31,Codli,10
13-08-2015,4,8,40,Codli,10
20-08-2015,4,9,43,Codli,10
22-08-2015,3,6,31,Codli,10
26-08-2015,3,7,31,Codli,10
28-08-2015,3,8,32,Codli,10
09-02-2015,3,7,33,Codli,10
09-05-2015,3,8,34,Codli,10
09-09-2015,3,6,32,Codli,10
09-12-2015,3,7,32,Codli,10
15-09-2015,3,8,55,Codli,10
19-09-2015,4,9,43,Codli,10
23-09-2015,3,7,35,Codli,10
26-09-2015,3,9,34,Codli,10
10-03-2015,4,9,32,Codli,10
10-07-2015,4,9,35,Codli,10
10-10-2015,4,9,34,Codli,10
14-10-2015,4,9,34,Codli,10
17-10-2015,4,9,32,Codli,10
21-10-2015,4,8,47,Codli,10
24-10-2015,4,9,40,Codli,10
28-10-2015,4,9,49,Codli,10
31-10-2015,4,8,41,Codli,10
11-04-2015,4,10,76,Codli,10
11-07-2015,4,9,64,Codli,10
11-11-2015,4,9,33,Codli,10
14-11-2015,4,9,52,Codli,10
18-11-2015,4,9,61,Codli,10
21-11-2015,4,9,78,Codli,10
25-11-2015,4,9,64,Codli,10
28-11-2015,4,9,64,Codli,10
12-02-2015,4,9,56,Codli,10
12-05-2015,4,9,61,Codli,10
12-09-2015,4,9,46,Codli,10
12-12-2015,4,9,44,Codli,10
16-12-2015,4,10,70,Codli,10
19-12-2015,4,9,58,Codli,10
23-12-2015,4,9,55,Codli,10
26-12-2015,4,9,52,Codli,10
30-12-2015,4,9,60,Codli,10
01-03-2015,4,9,63,Honda,11
01-08-2015,4,9,72,Honda,11
01-10-2015,4,9,45,Honda,11
14-01-2015,4,9,43,Honda,11
16-01-2015,5,8,71,Honda,11
20-01-2015,4,9,71,Honda,11
22-01-2015,4,9,67,Honda,11
28-01-2015,5,10,74,Honda,11
30-01-2015,4,9,71,Honda,11
02-04-2015,4,9,58,Honda,11
02-06-2015,4,9,59,Honda,11
02-11-2015,4,9,36,Honda,11
13-02-2015,4,9,65,Honda,11
18-02-2015,4,10,78,Honda,11
20-02-2015,4,9,54,Honda,11
25-02-2015,4,9,74,Honda,11
27-02-2015,4,10,67,Honda,11
03-04-2015,5,10,79,Honda,11
03-07-2015,4,9,71,Honda,11
03-11-2015,4,9,32,Honda,11
13-03-2015,4,8,42,Honda,11
18-03-2015,5,8,70,Honda,11
20-03-2015,4,9,75,Honda,11
25-03-2015,5,10,76,Honda,11
27-03-2015,4,10,82,Honda,11
04-01-2015,4,9,32,Honda,11
04-03-2015,4,9,63,Honda,11
04-08-2015,4,9,84,Honda,11
04-10-2015,4,9,92,Honda,11
15-04-2015,4,9,36,Honda,11
17-04-2015,4,9,69,Honda,11
22-04-2015,4,9,32,Honda,11
24-04-2015,3,8,49,Honda,11
29-04-2015,4,10,39,Honda,11
05-02-2015,4,10,45,Honda,11
05-06-2015,4,9,36,Honda,11
05-08-2015,4,9,42,Honda,11
13-05-2015,4,9,33,Honda,11
15-05-2015,5,10,35,Honda,11
20-05-2015,4,9,35,Honda,11
22-05-2015,4,9,32,Honda,11
27-05-2015,3,8,39,Honda,11
29-05-2015,6,10,73,Honda,11
06-03-2015,4,8,35,Honda,11
06-05-2015,3,8,42,Honda,11
06-10-2015,3,8,47,Honda,11
06-12-2015,4,8,72,Honda,11
17-06-2015,6,10,78,Honda,11
19-06-2015,2,5,33,Honda,11
24-06-2015,4,8,37,Honda,11
26-06-2015,3,7,35,Honda,11
07-01-2015,2,5,33,Honda,11
07-03-2015,3,8,42,Honda,11
07-08-2015,3,8,41,Honda,11
07-10-2015,3,8,32,Honda,11
15-07-2015,4,8,34,Honda,11
17-07-2015,3,8,48,Honda,11
22-07-2015,4,8,33,Honda,11
24-07-2015,2,5,32,Honda,11
29-07-2015,4,9,40,Honda,11
31-07-2015,2,6,37,Honda,11
08-06-2015,4,8,59,Honda,11
08-08-2015,3,7,47,Honda,11
08-11-2015,2,5,33,Honda,11
13-08-2015,3,8,44,Honda,11
20-08-2015,3,7,34,Honda,11
22-08-2015,4,8,42,Honda,11
26-08-2015,3,7,37,Honda,11
28-08-2015,2,5,31,Honda,11
09-02-2015,4,7,32,Honda,11
09-05-2015,3,8,32,Honda,11
09-09-2015,3,7,30,Honda,11
09-12-2015,4,9,48,Honda,11
15-09-2015,4,9,34,Honda,11
19-09-2015,4,9,33,Honda,11
23-09-2015,4,10,42,Honda,11
26-09-2015,4,8,52,Honda,11
10-03-2015,4,9,35,Honda,11
10-07-2015,4,9,34,Honda,11
10-10-2015,4,10,52,Honda,11
14-10-2015,4,9,31,Honda,11
17-10-2015,4,9,56,Honda,11
21-10-2015,4,9,32,Honda,11
24-10-2015,4,9,31,Honda,11
28-10-2015,4,9,34,Honda,11
31-10-2015,4,9,61,Honda,11
11-04-2015,4,9,34,Honda,11
11-07-2015,4,9,38,Honda,11
11-11-2015,4,10,67,Honda,11
14-11-2015,4,9,51,Honda,11
18-11-2015,4,9,30,Honda,11
21-11-2015,4,8,38,Honda,11
25-11-2015,4,9,31,Honda,11
28-11-2015,4,9,48,Honda,11
12-02-2015,4,9,43,Honda,11
12-05-2015,4,10,68,Honda,11
12-09-2015,4,9,51,Honda,11
12-12-2015,4,8,33,Honda,11
16-12-2015,4,9,61,Honda,11
19-12-2015,4,9,42,Honda,11
23-12-2015,4,9,40,Honda,11
26-12-2015,4,10,69,Honda,11
30-12-2015,5,9,64,Honda,11
01-03-2015,4,9,80,Bicholim,12
