Date,PM10,Station ID
01-06-2017,51.04444444,9
01-07-2017,37.4625,9
01-08-2017,34.41111111,9
01-09-2017,35.6,9
01-10-2017,56.825,9
01-11-2017,62.23,9
01-01-2018,87.95555556,9
01-03-2018,73.52222222,9
01-04-2018,61.9875,9
01-05-2018,56.98888889,9
01-06-2018,31.8375,9
01-07-2018,29.35,9
01-08-2018,36.98888889,9
01-10-2018,79.81333333,9
01-11-2018,78.99444444,9
01-12-2018,65.44333333,9
01-01-2019,86.96444444,9
01-02-2019,103.0125,9
01-03-2019,85.68625,9
01-04-2019,68.11111111,9
01-05-2019,65.33333333,9
01-06-2019,43.5,9
01-07-2019,36.11111111,9
01-08-2019,36.11111111,9
01-09-2019,48.375,9
01-10-2019,56.55555556,9
01-11-2019,58.44444444,9
01-12-2019,60,9
01-01-2020,70.11111111,9
01-02-2020,83.25,9
01-03-2020,70.5,9
01-04-2020,52.75,9
01-05-2020,68.88888889,9
01-06-2020,52.55555556,9
01-07-2020,45.66666667,9
01-08-2020,45.75,9
01-09-2020,49.44444444,9
01-10-2020,55,9
01-11-2020,78.25,9
01-12-2020,92.44444444,9
01-01-2021,75.88888889,9
01-02-2021,80.375,9
01-03-2021,82,9
01-04-2016,64.975,10
01-05-2016,53.8375,10
01-06-2016,51.37777778,10
01-07-2016,32.5375,10
01-08-2016,32.22222222,10
01-09-2016,26.18888889,10
01-10-2016,68.6375,10
01-11-2016,116.0777778,10
01-12-2016,111.4888889,10
01-01-2017,111.9888889,10
01-02-2017,100.5875,10
01-04-2017,70.5625,10
01-05-2017,70.62222222,10
01-06-2017,43.82222222,10
01-07-2017,32.8,10
01-08-2017,35.52222222,10
01-09-2017,40.28888889,10
01-10-2017,49.825,10
01-11-2017,57.68,10
01-12-2017,66.1,10
01-01-2018,79.11111111,10
01-02-2018,106.35,10
01-03-2018,68.5,10
01-04-2018,68.175,10
01-05-2018,50.43333333,10
01-06-2018,34.65,10
01-07-2018,29.6125,10
01-08-2018,37.18888889,10
01-10-2018,79.93,10
01-11-2018,64.61444444,10
01-12-2018,65.53875,10
01-01-2019,86.98777778,10
01-02-2019,85.56875,10
01-03-2019,120.4866667,10
01-04-2019,66.25,10
01-05-2019,62.11111111,10
01-06-2019,45.33333333,10
01-07-2019,32.33333333,10
01-08-2019,33.22222222,10
01-09-2019,43.25,10
01-10-2019,44.22222222,10
01-11-2019,45.22222222,10
01-12-2019,46,10
01-01-2020,52.88888889,10
01-02-2020,65.22222222,10
01-03-2020,56.16666667,10
01-04-2020,47.25,10
01-05-2020,57.66666667,10
01-06-2020,45.75,10
01-07-2020,43.55555556,10
01-08-2020,45,10
01-09-2020,45.88888889,10
01-10-2020,50.77777778,10
01-11-2020,62.375,10
01-12-2020,88.55555556,10
01-01-2021,73.55555556,10
01-02-2021,82.125,10
01-03-2021,83.55555556,10
01-04-2016,54.925,11
01-05-2016,50.175,11
01-06-2016,58.91111111,11
01-07-2016,52.725,11
01-08-2016,30.85555556,11
01-09-2016,31.6,11
01-10-2016,66.53333333,11
01-11-2016,137.9,11
01-12-2016,110.2555556,11
01-01-2017,117.0111111,11
01-02-2017,107.675,11
01-04-2017,204.85,11
01-05-2017,117.7444444,11
01-06-2017,41.28888889,11
01-07-2017,34.8625,11
01-08-2017,36.74444444,11
01-09-2017,37.73333333,11
01-10-2017,47.975,11
01-11-2017,65.05,11
01-12-2017,65.5,11
01-01-2018,84.06666667,11
01-02-2018,95.6875,11
01-03-2018,86.37777778,11
01-04-2018,72.8875,11
01-05-2018,53.5,11
01-06-2018,30.5,11
01-07-2018,28.2125,11
01-08-2018,36.94444444,11
01-10-2018,89.61,11
01-11-2018,54.29777778,11
01-12-2018,65.6575,11
01-01-2019,88.96222222,11
01-02-2019,96.89125,11
01-03-2019,90.01444444,11
01-04-2019,65.55555556,11
01-05-2019,89.88888889,11
01-06-2019,45.25,11
01-07-2019,36.11111111,11
01-08-2019,37.44444444,11
01-09-2019,47.125,11
01-10-2019,58.44444444,11
01-11-2019,60.66666667,11
01-12-2019,59.88888889,11
01-01-2020,61.33333333,11
01-02-2020,75.75,11
01-03-2020,73.66666667,11
01-04-2020,61.33333333,11
01-05-2020,74.66666667,11
01-06-2020,51.66666667,11
01-07-2020,43.44444444,11
01-08-2020,45.5,11
01-09-2020,47.55555556,11
01-10-2020,53.77777778,11
01-11-2020,71.375,11
01-12-2020,81.55555556,11
01-01-2021,74.44444444,11
01-02-2021,76.875,11
01-03-2021,78.11111111,11
01-04-2016,57.575,12
01-05-2016,49.2,12
01-06-2016,51.28888889,12
01-07-2016,38.625,12
01-08-2016,37.27777778,12
01-09-2016,50.12222222,12
01-10-2016,89.2875,12
01-11-2016,148.0444444,12
01-12-2016,105.4666667,12
01-01-2017,100.8777778,12
01-02-2017,92.55,12
01-04-2017,59.65,12
01-05-2017,59.83333333,12
01-06-2017,35.83333333,12
01-07-2017,39.925,12
01-08-2017,34.31111111,12
01-09-2017,37.23333333,12
01-10-2017,49.7125,12
01-11-2017,65.29,12
01-12-2017,78.1875,12
